date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:39	529/529	---MCZ	200	added ('OK')	text/plain	date:Thu,%2008%20Nov%202018%2014:10:39%20GMT	https://nb-no.facebook.com/robots.txt		(from )
15:10:40	494725/494725	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2014:10:39%20GMT	https://nb-no.facebook.com/login/	/root/websites/face/nb-no.facebook.com/login/index.html	(from )
15:10:41	490813/490813	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2014:10:40%20GMT	https://nb-no.facebook.com/login/L38M	/root/websites/face/nb-no.facebook.com/login/L38M	(from https://nb-no.facebook.com/login/)
15:10:42	492988/492988	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2014:10:41%20GMT	https://nb-no.facebook.com/login/?_fb_noscript=1	/root/websites/face/nb-no.facebook.com/login/index4964.html	(from https://nb-no.facebook.com/login/)
15:10:42	489044/489044	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2014:10:42%20GMT	https://nb-no.facebook.com/login/IToy	/root/websites/face/nb-no.facebook.com/login/IToy	(from https://nb-no.facebook.com/login/)
15:10:43	489043/489043	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2014:10:43%20GMT	https://nb-no.facebook.com/login/S+p0	/root/websites/face/nb-no.facebook.com/login/S+p0	(from https://nb-no.facebook.com/login/)
15:10:44	488597/488597	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2014:10:44%20GMT	https://nb-no.facebook.com/login/km2J	/root/websites/face/nb-no.facebook.com/login/km2J	(from https://nb-no.facebook.com/login/)
15:10:45	488599/488599	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2014:10:45%20GMT	https://nb-no.facebook.com/login/DMK2	/root/websites/face/nb-no.facebook.com/login/DMK2	(from https://nb-no.facebook.com/login/)
15:10:46	489045/489045	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2014:10:46%20GMT	https://nb-no.facebook.com/login/ZLbS	/root/websites/face/nb-no.facebook.com/login/ZLbS	(from https://nb-no.facebook.com/login/)
15:10:47	489048/489048	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2014:10:47%20GMT	https://nb-no.facebook.com/login/qZW+	/root/websites/face/nb-no.facebook.com/login/qZW+	(from https://nb-no.facebook.com/login/)
15:10:48	488598/488598	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2014:10:48%20GMT	https://nb-no.facebook.com/login/XJyV	/root/websites/face/nb-no.facebook.com/login/XJyV	(from https://nb-no.facebook.com/login/)
15:10:50	488633/488633	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2014:10:49%20GMT	https://nb-no.facebook.com/login/XJyV/	/root/websites/face/nb-no.facebook.com/login/XJyV/index.html	(from https://nb-no.facebook.com/login/)
